block,trial,phase,trial_type,is_studied,image_path,image_onset,participant_first,participant_slider_value,participant_rt,participant_commit_time,participant_slider_timeout,participant_slider_stop_time,ai_slider_value,ai_rt,ai_decision_time,ai_slider_display_time,ai_correct,switch_stay_decision,switch_rt,switch_commit_time,switch_timeout,decision_onset_time,final_answer,used_ai_answer,ground_truth,participant_accuracy,euclidean_participant_to_truth,euclidean_ai_to_truth,euclidean_participant_to_ai,outcome_time,coins_earned,social_feedback,social_feedback_time,block_start_time,block_end_time,block_duration_seconds,block_duration_minutes
3,8,recognition,lure,False,STIMULI/SMALL_OBJECT/Key/Lure_079.jpg,1764914438.60529,True,0.9618055555555556,3.718250036239624,1764914443.612967,False,1764914441.5089211,0.2110307977796941,2.671328126165254,1764914443.6515641,1764914446.0202692,False,stay,2.0192949771881104,1764914451.474109,False,1764914449.454813,0.9618055555555556,False,1.0,True,0.03819444444444442,0.7889692022203059,0.7507747577758614,1764914451.4832242,0.9618055555555556,False,,1764914273.610625,1764914537.8134441,264.202819108963,4.403380318482717
3,9,recognition,studied,True,STIMULI/VEGETABLE/Bok_choy/Image_086.jpg,1764914453.6770911,True,0.1701388888888889,5.472988843917847,1764914460.6303208,False,1764914457.595957,0.4535882705256801,1.664477274259695,1764914460.6974342,1764914462.5754821,True,stay,3.6738476753234863,1764914469.8768058,False,1764914466.202958,0.1701388888888889,False,0.0,True,0.1701388888888889,0.4535882705256801,0.28344938163679123,1764914469.88275,0.8298611111111112,False,,1764914273.610625,1764914537.8134441,264.202819108963,4.403380318482717
3,10,recognition,lure,False,STIMULI/SMALL_ANIMAL/Beaver/Lure_061.jpg,1764914472.125408,True,0.8090277777777778,4.6715028285980225,1764914477.8590798,False,1764914474.923826,0.8236944187342204,2.028648851962105,1764914477.86841,1764914479.4493802,True,stay,1.6778366565704346,1764914484.4061718,False,1764914482.7283351,0.8090277777777778,False,1.0,True,0.1909722222222222,0.17630558126577955,0.014666640956442656,1764914484.412735,0.8090277777777778,False,,1764914273.610625,1764914537.8134441,264.202819108963,4.403380318482717
4,1,recognition,studied,True,STIMULI/FRUIT/Mulberry/Image_045.jpg,1764915443.108458,False,0.0,2.34094500541687,1764915448.657289,False,1764915447.808033,0.5997641481355305,1.279647816685417,1764915444.112124,1764915445.150666,False,stay,4.776077032089233,1764915455.559173,False,1764915450.783096,0.0,False,0.0,True,0.0,0.5997641481355305,0.5997641481355305,1764915455.564393,1.0,False,,1764915413.488422,1764915600.307064,186.81864213943481,3.113644035657247
4,2,recognition,studied,True,STIMULI/VEHICLE/Jeep/Image_098.jpg,1764915457.72507,False,0.3071358285134596,7.0341880321502686,1764915468.525716,True,1764915467.7430148,0.5384332134287009,1.97345649113933,1764915458.727478,1764915460.274019,False,stay,3.3868308067321777,1764915475.708949,False,1764915472.3221161,0.3071358285134596,False,0.0,True,0.3071358285134596,0.5384332134287009,0.23129738491524127,1764915475.7162108,0.6928641714865404,False,,1764915413.488422,1764915600.307064,186.81864213943481,3.113644035657247
4,3,recognition,studied,True,STIMULI/VEGETABLE/Squash/Image_090.jpg,1764915477.813743,False,0.0,2.8909010887145996,1764915484.2417321,False,1764915483.1762471,0.31821465779311725,1.6662407642707058,1764915478.819701,1764915480.17095,True,stay,1.923612117767334,1764915488.341731,False,1764915486.418119,0.0,False,0.0,True,0.0,0.31821465779311725,0.31821465779311725,1764915488.347605,1.0,False,,1764915413.488422,1764915600.307064,186.81864213943481,3.113644035657247
4,4,recognition,lure,False,STIMULI/SMALL_ANIMAL/Koala/Lure_067.jpg,1764915490.44941,False,0.0,4.320178985595703,1764915498.0421839,False,1764915497.1090891,0.10965167587451918,1.2005410590015564,1764915491.4644768,1764915492.519609,False,switch,1.8970580101013184,1764915502.109431,False,1764915500.212372,0.10965167587451918,True,1.0,False,1.0,0.8903483241254808,0.10965167587451918,1764915502.114815,0.6096516758745192,True,1764915503.693585,1764915413.488422,1764915600.307064,186.81864213943481,3.113644035657247
4,5,recognition,lure,False,STIMULI/FOOD/Pizza/Lure_039.jpg,1764915506.700345,False,1.0,6.016769170761108,1764915516.1261141,False,1764915511.940918,0.1358343760436833,1.5610124190520058,1764915507.704492,1764915508.937054,False,stay,3.570509195327759,1764915521.872808,False,1764915518.302298,1.0,False,1.0,True,0.0,0.8641656239563167,0.8641656239563167,1764915521.874732,1.0,False,,1764915413.488422,1764915600.307064,186.81864213943481,3.113644035657247
4,6,recognition,studied,True,STIMULI/SMALL_OBJECT/Globe/Image_078.jpg,1764915523.923171,False,0.0,3.6514880657196045,1764915531.7910259,False,1764915530.8792949,0.5242184369789431,2.597661613471765,1764915524.938559,1764915526.969667,False,stay,2.4562251567840576,1764915536.4098291,False,1764915533.953603,0.0,False,0.0,True,0.0,0.5242184369789431,0.5242184369789431,1764915536.414676,1.0,False,,1764915413.488422,1764915600.307064,186.81864213943481,3.113644035657247
4,7,recognition,lure,False,STIMULI/BIG_ANIMAL/Alligator/Lure_001.jpg,1764915538.473623,False,0.0,3.103717088699341,1764915544.923745,False,1764915543.4411361,0.8476178612961207,1.4385945208322597,1764915539.4740212,1764915540.648106,True,stay,1.057706594467163,1764915548.1102238,False,1764915547.0525172,0.0,False,1.0,False,1.0,0.1523821387038793,0.8476178612961207,1764915548.110959,0.0,False,,1764915413.488422,1764915600.307064,186.81864213943481,3.113644035657247
4,8,recognition,studied,True,STIMULI/BIG_OBJECT/Barrel/Image_011.jpg,1764915550.1627169,False,0.0,4.324405193328857,1764915557.97368,False,1764915556.573823,0.28575851882722403,1.689229909403964,1764915551.1630971,1764915552.488935,True,switch,0.9993031024932861,1764915561.121444,False,1764915560.122141,0.28575851882722403,True,0.0,True,0.0,0.28575851882722403,0.28575851882722403,1764915561.122868,1.214241481172776,True,1764915562.648895,1764915413.488422,1764915600.307064,186.81864213943481,3.113644035657247
4,9,recognition,lure,False,STIMULI/BIRD/Goose/Lure_024.jpg,1764915565.193642,False,0.8524305555555556,2.614992141723633,1764915571.355267,False,1764915569.8558981,0.8029129326579423,1.7383109549603837,1764915566.194082,1764915567.5810509,True,switch,1.478132963180542,1764915574.9800909,False,1764915573.5019572,0.8029129326579423,True,1.0,True,0.14756944444444442,0.19708706734205772,0.0495176228976133,1764915574.981376,0.8029129326579423,False,,1764915413.488422,1764915600.307064,186.81864213943481,3.113644035657247
4,10,recognition,lure,False,STIMULI/INSECT/Butterfly/Lure_055.jpg,1764915577.0481238,False,0.40972222222222227,5.158606767654419,1764915585.913725,False,1764915585.3396852,0.09636987521196114,1.9905162337633437,1764915578.051446,1764915579.592011,False,switch,1.2512030601501465,1764915589.324984,False,1764915588.0737789,0.09636987521196114,True,1.0,False,0.5902777777777777,0.9036301247880388,0.31335234701026116,1764915589.3321059,0.5963698752119612,True,1764915590.8666408,1764915413.488422,1764915600.307064,186.81864213943481,3.113644035657247
5,1,recognition,lure,False,STIMULI/SMALL_ANIMAL/Monkey/Lure_068.jpg,1764915631.045436,False,1.0,3.1119091510772705,1764915637.875755,False,1764915636.881609,0.9040924718502688,1.9915574189043848,1764915632.0483992,1764915633.589268,True,switch,3.183109998703003,1764915643.186878,False,1764915640.003767,0.9040924718502688,True,1.0,True,0.0,0.09590752814973125,0.09590752814973125,1764915643.188858,0.9040924718502688,False,,1764915602.5164192,1764915777.9771898,175.46077060699463,2.924346176783244
5,2,recognition,lure,False,STIMULI/BIG_OBJECT/Chair/Lure_013.jpg,1764915645.251063,False,0.4965277777777778,3.840742826461792,1764915652.789363,False,1764915652.7893498,0.9695000570431795,1.9735996935053313,1764915646.251612,1764915647.790899,True,switch,2.3085148334503174,1764915657.2241669,False,1764915654.915652,0.9695000570431795,True,1.0,True,0.5034722222222222,0.03049994295682046,0.47297227926540175,1764915657.230979,0.9695000570431795,False,,1764915602.5164192,1764915777.9771898,175.46077060699463,2.924346176783244
5,3,recognition,lure,False,STIMULI/VEHICLE/Boat/Lure_093.jpg,1764915659.3083332,False,0.3177083333333333,3.0384321212768555,1764915665.725107,False,1764915664.9926422,0.8428075349267171,1.5149273867153252,1764915660.308644,1764915661.529172,True,switch,0.7554960250854492,1764915668.690699,False,1764915667.935203,0.8428075349267171,True,1.0,True,0.6822916666666667,0.15719246507328288,0.5250992015933837,1764915668.69729,1.3428075349267172,True,1764915670.2230568,1764915602.5164192,1764915777.9771898,175.46077060699463,2.924346176783244
5,4,recognition,lure,False,STIMULI/BIRD/Peacock/Lure_029.jpg,1764915672.7631779,False,0.3854166666666667,3.010369062423706,1764915679.129128,False,1764915678.240432,0.7431001258535492,1.462733915121563,1764915673.7640169,1764915674.952544,True,switch,1.4294850826263428,1764915682.724857,False,1764915681.295372,0.7431001258535492,True,1.0,True,0.6145833333333333,0.25689987414645077,0.35768345918688255,1764915682.7279282,1.2431001258535492,True,1764915684.256067,1764915602.5164192,1764915777.9771898,175.46077060699463,2.924346176783244
5,5,recognition,studied,True,STIMULI/SMALL_OBJECT/Envelope/Image_075.jpg,1764915687.0409658,False,0.0,2.932573080062866,1764915692.925086,False,1764915692.036255,0.2840025729558049,0.946858125879009,1764915688.041365,1764915688.823036,True,switch,0.7419230937957764,1764915695.85745,False,1764915695.115527,0.2840025729558049,True,0.0,True,0.0,0.2840025729558049,0.2840025729558049,1764915695.864104,0.7159974270441951,False,,1764915602.5164192,1764915777.9771898,175.46077060699463,2.924346176783244
5,6,recognition,studied,True,STIMULI/VEGETABLE/Arugula/Image_081.jpg,1764915697.920745,False,0.0,4.325465202331543,1764915705.707277,False,1764915702.6259022,0.3702894200889639,1.5779332229926972,1764915698.9210958,1764915700.2170932,True,stay,4.660237073898315,1764915712.49068,False,1764915707.830443,0.0,False,0.0,True,0.0,0.3702894200889639,0.3702894200889639,1764915712.497505,1.0,False,,1764915602.5164192,1764915777.9771898,175.46077060699463,2.924346176783244
5,7,recognition,studied,True,STIMULI/FRUIT/Watermelon/Image_050.jpg,1764915714.546377,False,0.0,4.009182929992676,1764915721.789525,False,1764915720.258641,0.4025836309086988,1.293111853361318,1764915715.5467541,1764915716.614573,True,stay,1.4813499450683594,1764915725.3885388,False,1764915723.907188,0.0,False,0.0,True,0.0,0.4025836309086988,0.4025836309086988,1764915725.390086,1.0,False,,1764915602.5164192,1764915777.9771898,175.46077060699463,2.924346176783244
5,8,recognition,studied,True,STIMULI/BIG_ANIMAL/Cheetah/Image_004.jpg,1764915727.431456,False,0.8854166666666666,3.976984739303589,1764915734.8726568,False,1764915733.990172,0.6285992256718709,1.5830275994286813,1764915728.431773,1764915729.7326112,False,switch,0.790534257888794,1764915737.792334,False,1764915737.0017998,0.6285992256718709,True,0.0,False,0.8854166666666666,0.6285992256718709,0.25681744099479575,1764915737.7969122,0.8714007743281291,True,1764915739.325147,1764915602.5164192,1764915777.9771898,175.46077060699463,2.924346176783244
5,9,recognition,studied,True,STIMULI/INSECT/Ants/Image_051.jpg,1764915741.863828,False,0.0,4.180588006973267,1764915749.272727,False,1764915748.3077812,0.28059468291160045,1.3390455315131238,1764915742.864172,1764915743.933352,True,stay,1.3556718826293945,1764915752.748715,False,1764915751.393043,0.0,False,0.0,True,0.0,0.28059468291160045,0.28059468291160045,1764915752.7559721,1.0,False,,1764915602.5164192,1764915777.9771898,175.46077060699463,2.924346176783244
5,10,recognition,lure,False,STIMULI/FOOD/Pie/Lure_038.jpg,1764915754.807605,False,0.11979166666666673,3.192448139190674,1764915761.348041,False,1764915760.4903512,1.0,1.4682602045010393,1764915755.807986,1764915756.989044,True,stay,1.9299449920654297,1764915765.405418,False,1764915763.475472,0.11979166666666673,False,1.0,False,0.8802083333333333,0.0,0.8802083333333333,1764915765.408221,0.11979166666666674,False,,1764915602.5164192,1764915777.9771898,175.46077060699463,2.924346176783244
