block,trial,phase,trial_type,is_studied,image_path,image_onset,participant_first,participant_slider_value,participant_rt,participant_commit_time,participant_slider_timeout,participant_slider_stop_time,ai_slider_value,ai_rt,ai_decision_time,ai_slider_display_time,ai_correct,switch_stay_decision,switch_rt,switch_commit_time,switch_timeout,decision_onset_time,final_answer,used_ai_answer,ground_truth,participant_accuracy,euclidean_participant_to_truth,euclidean_ai_to_truth,euclidean_participant_to_ai,outcome_time,coins_earned,social_feedback,social_feedback_time
2,6,recognition,studied,True,PLACEHOLDERS/IMAGE_28.png,1764824392.8575912,True,0.7881944444444444,6.514547109603882,1764824400.4109561,False,1764824397.8066392,0.6450879851357723,1.8906361777395948,1764824400.415204,1764824402.08637,False,stay,2.4981627464294434,1764824407.887137,False,1764824405.3889742,0.7881944444444444,False,0.0,False,0.7881944444444444,0.6450879851357723,0.14310645930867216,1764824407.893583,0.21180555555555558,False,
2,7,recognition,lure,False,PLACEHOLDERS/LURE_77.png,1764824409.9313998,True,0.13020833333333334,5.361032009124756,1764824416.344532,False,1764824412.887891,0.9188570519357704,1.4722592148808107,1764824416.3598971,1764824417.6022809,True,stay,1.426680088043213,1764824422.353864,False,1764824420.9271839,0.13020833333333334,False,1.0,False,0.8697916666666666,0.08114294806422961,0.788648718602437,1764824422.362637,0.13020833333333337,False,
2,8,recognition,lure,False,PLACEHOLDERS/LURE_47.png,1764824424.4081202,True,0.8271611098177862,7.003402948379517,1764824432.4536781,True,1764824429.988359,0.16007756762580674,1.7462056257201335,1764824433.97441,1764824435.336001,False,switch,1.3761789798736572,1764824439.937195,False,1764824438.561016,0.16007756762580674,True,1.0,False,0.17283889018221377,0.8399224323741933,0.6670835421919795,1764824439.94399,0.16007756762580672,False,
2,9,recognition,studied,True,PLACEHOLDERS/IMAGE_14.png,1764824441.9694889,True,0.21875,4.67817497253418,1764824447.687426,False,1764824446.636207,0.6475128962216419,3.451956724283637,1764824447.696188,1764824450.34187,False,stay,1.1500298976898193,1764824454.7215931,False,1764824453.571562,0.21875,False,0.0,True,0.21875,0.6475128962216419,0.4287628962216419,1764824454.726442,0.78125,False,
2,10,recognition,lure,False,PLACEHOLDERS/LURE_40.png,1764824456.752098,True,0.1527777777777778,4.363158941268921,1764824462.154609,False,1764824460.129009,0.22652262440013948,1.8571041995935809,1764824462.157883,1764824463.616238,False,stay,1.0527522563934326,1764824467.9715142,False,1764824466.918761,0.1527777777777778,False,1.0,False,0.8472222222222222,0.7734773755998605,0.07374484662236169,1764824467.976507,0.1527777777777778,False,
3,1,recognition,studied,True,PLACEHOLDERS/IMAGE_21.png,1764824537.2595148,False,0.8402777777777778,2.8395252227783203,1764824543.7551801,False,1764824542.635089,0.6783627399052817,1.9075614256438234,1764824538.262115,1764824539.748982,False,stay,0.9152908325195312,1764824546.8031218,False,1764824545.887831,0.8402777777777778,False,0.0,False,0.8402777777777778,0.6783627399052817,0.16191503787249606,1764824546.809223,0.1597222222222222,False,
3,2,recognition,lure,False,PLACEHOLDERS/LURE_48.png,1764824548.841922,False,0.13541666666666666,3.2702929973602295,1764824555.4534311,False,1764824554.1566389,0.23168677959912698,1.436807503883021,1764824549.842211,1764824551.0172548,False,stay,0.8381290435791016,1764824558.453938,False,1764824557.615809,0.13541666666666666,False,1.0,False,0.8645833333333334,0.768313220400873,0.09627011293246032,1764824558.462098,0.13541666666666663,False,
3,3,recognition,studied,True,PLACEHOLDERS/IMAGE_50.png,1764824560.491713,False,0.12500000000000003,2.7021641731262207,1764824566.469695,False,1764824565.456,0.5521010083259053,1.3676266409133708,1764824561.491939,1764824562.612043,False,stay,3.1268858909606934,1764824571.719604,False,1764824568.5927181,0.12500000000000003,False,0.0,True,0.12500000000000003,0.5521010083259053,0.42710100832590525,1764824571.724961,0.875,False,
3,4,recognition,lure,False,PLACEHOLDERS/LURE_59.png,1764824573.751682,False,0.04340277777777783,4.222649097442627,1764824581.520067,False,1764824578.908351,0.1528324667954944,1.731894633875842,1764824574.752152,1764824576.140057,False,stay,2.5445303916931152,1764824586.2534752,False,1764824583.7089448,0.04340277777777783,False,1.0,False,0.9565972222222222,0.8471675332045057,0.10942968901771656,1764824586.258564,0.04340277777777779,False,
3,5,recognition,lure,False,PLACEHOLDERS/LURE_38.png,1764824588.290553,False,0.0798611111111111,4.755216121673584,1764824596.267553,False,1764824593.252987,0.12327182994823775,1.2963723470986679,1764824589.2910469,1764824590.340909,False,stay,1.4534931182861328,1764824599.864834,False,1764824598.41134,0.0798611111111111,False,1.0,False,0.9201388888888888,0.8767281700517623,0.04341071883712665,1764824599.8664489,0.07986111111111116,False,
3,6,recognition,lure,False,PLACEHOLDERS/LURE_76.png,1764824601.897748,False,0.9322916666666666,4.145339250564575,1764824609.469144,False,1764824607.135621,0.21196640229286903,1.6236760042321108,1764824602.900527,1764824604.165326,False,stay,2.1626036167144775,1764824613.7634408,False,1764824611.6008372,0.9322916666666666,False,1.0,True,0.06770833333333337,0.788033597707131,0.7203252643737976,1764824613.765284,0.9322916666666666,False,
