block,phase,trial,image_path,study_fixation_onset_trigger,study_fixation_offset_trigger,fixation_duration,study_image_onset_trigger,study_image_offset_trigger,image_duration
6,study,3,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\BIRD\Owl\Image_027.jpg,1771261400.1185675,1771261400.5709574,0.431239219835087,1771261400.616257,1771261401.6417837,1.0
6,study,4,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\FOOD\Pizza\Image_039.jpg,1771261401.6704352,1771261401.9837503,0.2923529607440752,1771261402.038715,1771261403.0577831,1.0
6,study,5,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\biganimal\Hippopotamus\Image_007.jpg,1771261403.0872924,1771261403.5674374,0.46041787779182247,1771261403.6113005,1771261404.6234457,1.0
6,study,6,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\INSECT\Butterfly\Image_055.jpg,1771261404.6533413,1771261405.3056204,0.6327080586592464,1771261405.5197642,1771261406.5460052,1.0
6,study,7,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\bigobject\Chandelier\Image_014.jpg,1771261406.5829346,1771261406.9265907,0.3193642279753098,1771261407.0020895,1771261408.022822,1.0
6,study,8,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\VEGETABLE\Basil\Image_084.jpg,1771261408.052075,1771261408.4833539,0.41083614121247314,1771261408.557176,1771261409.5747383,1.0
6,study,9,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallanimal\Otter\Image_070.jpg,1771261409.6010594,1771261410.2680607,0.645377440114538,1771261410.40321,1771261411.4254553,1.0
6,study,10,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\VEHICLE\Airplane\Image_091.jpg,1771261411.4542587,1771261411.9954305,0.5228399278259384,1771261412.0563269,1771261413.0747712,1.0
7,study,1,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\VEGETABLE\Carrot\Image_087.jpg,1771261525.6497145,1771261526.3331063,0.6587311195812489,1771261526.398308,1771261527.4147713,1.0
7,study,2,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\VEHICLE\Jeep\Image_098.jpg,1771261527.4434154,1771261527.9741342,0.5087537875460735,1771261528.139815,1771261529.1642652,1.0
